"jurisdiction","week_of_allocations","_1st_dose_allocations","_2nd_dose_allocations"
"Minnesota","2021-03-22T00:00:00.000","53800","53800"
"Ohio","2021-03-22T00:00:00.000","114100","114100"
"Wisconsin","2021-03-22T00:00:00.000","57100","57100"
"Arkansas","2021-03-22T00:00:00.000","28900","28900"
"Louisiana","2021-03-22T00:00:00.000","45000","45000"
"New Mexico","2021-03-22T00:00:00.000","20500","20500"
"Oklahoma","2021-03-22T00:00:00.000","37500","37500"
"Texas","2021-03-22T00:00:00.000","260400","260400"
"Iowa","2021-03-22T00:00:00.000","30400","30400"
"Kansas","2021-03-22T00:00:00.000","27800","27800"
"Missouri","2021-03-22T00:00:00.000","59500","59500"
"Nebraska","2021-03-22T00:00:00.000","18400","18400"
"Colorado","2021-03-22T00:00:00.000","54100","54100"
"Montana","2021-03-22T00:00:00.000","10400","10400"
"North Dakota","2021-03-22T00:00:00.000","7500","7500"
"South Dakota","2021-03-22T00:00:00.000","8300","8300"
"Utah","2021-03-22T00:00:00.000","27100","27100"
"Wyoming","2021-03-22T00:00:00.000","5700","5700"
"Arizona","2021-03-22T00:00:00.000","67600","67600"
"California","2021-03-22T00:00:00.000","380300","380300"
"Hawaii","2021-03-22T00:00:00.000","14200","14200"
"Nevada","2021-03-22T00:00:00.000","28500","28500"
"American Samoa","2021-03-22T00:00:00.000","0","0"
"Guam","2021-03-22T00:00:00.000","0","0"
"Marshall Islands","2021-03-22T00:00:00.000","0","0"
"Micronesia","2021-03-22T00:00:00.000","0","0"
"Mariana Islands","2021-03-22T00:00:00.000","0","0"
"Palau","2021-03-22T00:00:00.000","0","0"
"Alaska","2021-03-22T00:00:00.000","0","0"
"Idaho","2021-03-22T00:00:00.000","15800","15800"
"Oregon","2021-03-22T00:00:00.000","40800","40800"
"Washington","2021-03-22T00:00:00.000","72400","72400"
"Federal Entities","2021-03-22T00:00:00.000","143000","143000"
"Connecticut","2021-03-15T00:00:00.000","35800","35800"
"Maine","2021-03-15T00:00:00.000","13700","13700"
