"jurisdiction","week_of_allocations","_1st_dose_allocations","_2nd_dose_allocations"
"Mariana Islands","2021-01-18T00:00:00.000","0","0"
"Marshall Islands","2021-01-18T00:00:00.000","0","0"
"Maryland","2021-01-18T00:00:00.000","37800","37800"
"Massachusetts","2021-01-18T00:00:00.000","44300","44300"
"Michigan","2021-01-18T00:00:00.000","63000","63000"
"Micronesia","2021-01-18T00:00:00.000","0","0"
"Minnesota","2021-01-18T00:00:00.000","34500","34500"
"Mississippi","2021-01-18T00:00:00.000","18500","18500"
"Missouri","2021-01-18T00:00:00.000","38200","38200"
"Montana","2021-01-18T00:00:00.000","6700","6700"
"Nebraska","2021-01-18T00:00:00.000","11800","11800"
"Nevada","2021-01-18T00:00:00.000","18300","18300"
"New Hampshire","2021-01-18T00:00:00.000","8800","8800"
"New Jersey","2021-01-18T00:00:00.000","56100","56100"
"New Mexico","2021-01-18T00:00:00.000","13200","13200"
"New York","2021-01-18T00:00:00.000","71400","71400"
"New York City","2021-01-18T00:00:00.000","54200","54200"
"North Carolina","2021-01-18T00:00:00.000","63800","63800"
"North Dakota","2021-01-18T00:00:00.000","4800","4800"
"Ohio","2021-01-18T00:00:00.000","73200","73200"
"Oklahoma","2021-01-18T00:00:00.000","24100","24100"
"Oregon","2021-01-18T00:00:00.000","26200","26200"
"Palau","2021-01-18T00:00:00.000","0","0"
"Pennsylvania","2021-01-18T00:00:00.000","72100","72100"
"Philadelphia","2021-01-18T00:00:00.000","10000","10000"
"Puerto Rico","2021-01-18T00:00:00.000","21900","21900"
"Rhode Island","2021-01-18T00:00:00.000","6900","6900"
"South Carolina","2021-01-18T00:00:00.000","31400","31400"
"South Dakota","2021-01-18T00:00:00.000","5300","5300"
"Tennessee","2021-01-18T00:00:00.000","41800","41800"
"Texas","2021-01-18T00:00:00.000","167100","167100"
